PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
9000.0,43.0,,Other,Strategy,16.271118760553215,,,6.0,108.0,79.0,25.0,Medium
9001.0,29.0,Female,USA,Strategy,5.525961380570566,0.0,Medium,5.0,144.0,11.0,,Medium
,22.0,Female,USA,,,0.0,Easy,16.0,142.0,35.0,41.0,High
9003.0,,Male,USA,Action,5.265351277318268,1.0,Easy,9.0,85.0,57.0,47.0,Medium
9004.0,,Male,Europe,Action,15.53194452113429,0.0,Medium,2.0,131.0,95.0,37.0,Medium
9005.0,37.0,Male,Europe,RPG,20.561855414112557,0.0,Easy,2.0,81.0,,,Low
9006.0,,,,Action,9.752716365932256,0.0,,1.0,,,2.0,Low
,25.0,Female,Asia,RPG,4.401729344841462,0.0,Medium,10.0,,27.0,,Medium
9008.0,38.0,,Europe,Simulation,18.15273259575482,0.0,,5.0,101.0,23.0,41.0,Medium
,38.0,Female,Other,Sports,23.942771725289525,,Easy,13.0,95.0,99.0,36.0,High
,17.0,Male,USA,Strategy,4.829915833543258,0.0,Hard,8.0,95.0,14.0,12.0,High
,36.0,Female,Asia,Simulation,5.53598092541321,1.0,Easy,16.0,124.0,62.0,31.0,
9012.0,16.0,,USA,Sports,18.776233805679176,1.0,Easy,9.0,18.0,52.0,32.0,High
9013.0,,Female,USA,Strategy,8.701959180591404,0.0,Easy,,156.0,33.0,,Low
9014.0,,Male,USA,,17.975200475946355,0.0,Easy,8.0,41.0,98.0,1.0,Low
,16.0,Male,Europe,RPG,7.951511339057053,0.0,Medium,10.0,156.0,58.0,,High
9016.0,35.0,Male,Asia,Strategy,17.88789845694821,0.0,Easy,16.0,,62.0,4.0,High
9017.0,,Male,USA,RPG,,0.0,Medium,2.0,131.0,13.0,9.0,Low
9018.0,26.0,Female,,Action,19.416078735805648,0.0,Easy,3.0,135.0,77.0,25.0,Medium
9019.0,36.0,Female,Asia,RPG,19.3388255215677,0.0,,4.0,56.0,21.0,30.0,Low
9020.0,,Female,USA,,1.7225809816138815,0.0,,2.0,177.0,,37.0,Medium
9021.0,41.0,Female,USA,,16.16768979311812,0.0,Easy,18.0,159.0,36.0,33.0,High
9022.0,42.0,,,Sports,10.44812618560384,0.0,Medium,2.0,120.0,81.0,5.0,Low
9023.0,30.0,Male,,Strategy,17.959834855223,,Easy,,117.0,40.0,19.0,High
9024.0,29.0,Male,Europe,,,0.0,Medium,12.0,161.0,1.0,22.0,High
9025.0,17.0,,,Sports,10.311459919262395,0.0,,4.0,82.0,1.0,7.0,Medium
9026.0,21.0,Male,USA,Strategy,4.898342485762538,0.0,Medium,12.0,118.0,71.0,26.0,High
9027.0,35.0,Male,USA,,,0.0,,18.0,177.0,59.0,,High
9028.0,23.0,Male,Europe,Simulation,,0.0,,14.0,57.0,2.0,1.0,Medium
9029.0,32.0,Female,,Sports,4.128575768252703,0.0,Easy,1.0,155.0,,37.0,Low
9030.0,,Female,Asia,Simulation,22.85867253938618,,Easy,3.0,67.0,35.0,,Low
,39.0,Male,USA,Sports,3.374945771843211,1.0,Easy,5.0,70.0,50.0,11.0,Medium
,28.0,Female,,Action,14.527638765802958,0.0,Hard,0.0,127.0,48.0,,Low
9033.0,23.0,Male,USA,Simulation,18.964324125931693,0.0,Hard,19.0,48.0,62.0,42.0,Medium
,40.0,Male,USA,Strategy,11.72896470228836,0.0,Hard,,120.0,24.0,18.0,Low
9035.0,16.0,Female,USA,RPG,17.491258097283612,0.0,Medium,18.0,166.0,24.0,,High
9036.0,34.0,Male,Europe,Action,13.776451193864396,0.0,Hard,19.0,28.0,79.0,41.0,Medium
9037.0,,,USA,Strategy,23.958349383365025,0.0,Medium,17.0,61.0,26.0,26.0,
,,Female,Europe,Action,1.9080071501124567,0.0,,11.0,112.0,14.0,0.0,Medium
9039.0,,Female,Europe,,5.560105967959029,0.0,Hard,3.0,116.0,52.0,,Medium
9040.0,,Female,Europe,Strategy,13.714087008439236,1.0,Medium,,43.0,93.0,29.0,
9041.0,28.0,Male,Other,RPG,,,Medium,4.0,151.0,76.0,35.0,Medium
,31.0,Male,USA,Action,2.244646562637268,0.0,Medium,15.0,,88.0,39.0,Medium
9043.0,18.0,Male,Other,RPG,13.153809578502678,,Medium,12.0,,98.0,7.0,Medium
9044.0,16.0,Female,,Action,2.61963355317819,,Easy,14.0,149.0,10.0,34.0,High
9045.0,,,Asia,RPG,,0.0,Medium,19.0,65.0,,,Medium
9046.0,18.0,Male,,RPG,,0.0,Easy,17.0,176.0,45.0,43.0,High
9047.0,,Male,USA,Strategy,,0.0,Medium,3.0,31.0,73.0,,Low
9048.0,32.0,Female,USA,Sports,11.198056677031936,0.0,Easy,19.0,,51.0,38.0,High
9049.0,40.0,Male,Europe,Sports,17.06770113669252,,Hard,8.0,94.0,31.0,13.0,Medium
9050.0,48.0,,Other,RPG,19.216494885917577,0.0,,3.0,146.0,22.0,32.0,Medium
9051.0,24.0,Male,,Sports,0.8741881074057289,0.0,Medium,8.0,45.0,19.0,21.0,High
9052.0,28.0,Male,Europe,Simulation,11.216713856822746,0.0,,8.0,134.0,64.0,,Medium
9053.0,45.0,Male,Europe,Simulation,23.70289731941193,1.0,,1.0,50.0,95.0,26.0,Low
9054.0,29.0,Male,,RPG,9.210122598314191,1.0,Easy,15.0,171.0,6.0,16.0,High
